latitude,longitude
37.7817,-122.4929
37.7635,-122.4641
37.7657,-122.4644
37.7893,-122.4605
37.773,-122.509
37.7447,-122.4779
37.7743,-122.4877
37.7447,-122.4779
37.7839,-122.4612
37.7753,-122.5047
37.7678,-122.5074
37.7709,-122.4771
37.7888,-122.4633
37.753,-122.5079
37.7752,-122.465
37.7909,-122.4841
37.753,-122.4947
37.753,-122.4946
37.7729,-122.5091
37.7876,-122.4849
37.7907,-122.4838
37.7735,-122.4714
37.773,-122.4897
37.7536,-122.4897
37.7731,-122.5091
37.7737,-122.5091
37.7729,-122.5091
37.7817,-122.4928
37.7872,-122.4851
37.7817,-122.4928
37.7795,-122.5036
37.7823,-122.4655
37.7729,-122.509
37.7642,-122.4673
37.7633,-122.4663
37.7723,-122.4894
37.7533,-122.5021
37.7729,-122.5091
37.7736,-122.4713
37.7735,-122.4713
37.7735,-122.4713
37.749,-122.5075
37.7651,-122.4664
37.773,-122.5091
37.7752,-122.4649
37.7677,-122.5018
37.7715,-122.5106
37.7642,-122.4674
37.7751,-122.465
37.7751,-122.465
37.783,-122.4611
37.7622,-122.5095
37.7583,-122.509
37.7711,-122.4737
37.7549,-122.4637
37.7643,-122.4616
37.7568,-122.4633
37.75,-122.4913
37.7587,-122.5014
37.7852,-122.4776
37.7611,-122.4895
37.7822,-122.4654
37.7808,-122.4762
37.7458,-122.4964
37.7742,-122.491
37.7422,-122.4983
37.7604,-122.5056
37.7412,-122.4661
37.7605,-122.5056
37.7458,-122.4965
37.7422,-122.4983
37.7429,-122.4832
37.7792,-122.49
37.7634,-122.4801
37.7568,-122.5015
37.7636,-122.4642
37.7827,-122.4707
37.7824,-122.472
37.7834,-122.4614
37.7706,-122.5112
37.7604,-122.5091
37.7821,-122.4846
37.7644,-122.4605
37.7639,-122.5097
37.7417,-122.5073
37.783,-122.4632
37.7729,-122.5091
37.7846,-122.4692
37.7752,-122.5117
37.7751,-122.5118
37.7713,-122.5103
37.7714,-122.5113
37.7701,-122.4605
37.7606,-122.5039
37.7751,-122.465
37.7458,-122.4975
37.7729,-122.509
37.7897,-122.4856
37.7635,-122.4641
37.7875,-122.4852
37.7624,-122.4694
37.7636,-122.4777
37.7876,-122.4859
37.7729,-122.5116
37.7751,-122.465
37.7603,-122.5049
37.7597,-122.5094
37.7713,-122.5106
37.773,-122.4778
37.7734,-122.4713
37.7895,-122.4603
37.7513,-122.4853
37.7782,-122.4931
37.7542,-122.4813
37.7462,-122.4942
37.7622,-122.5062
37.7819,-122.4828
37.7752,-122.465
37.773,-122.5091
37.7752,-122.4649
37.7566,-122.5056
37.7566,-122.5056
37.7642,-122.4674
37.7823,-122.4655
37.7876,-122.4849
37.7875,-122.4851
37.7711,-122.4737
37.7625,-122.4825
37.7755,-122.5056
37.7823,-122.4655
37.7852,-122.4776
37.7899,-122.4855
37.7602,-122.4702
37.7793,-122.4976
37.7623,-122.5068
37.7696,-122.5112
37.7757,-122.4979
37.7696,-122.5112
37.7703,-122.4938
37.7529,-122.5046
37.7643,-122.4674
37.7729,-122.5091
37.7735,-122.4713
37.7643,-122.4674
37.7834,-122.4613
37.7804,-122.4728
37.7654,-122.4769
37.7819,-122.4864
37.7597,-122.5094
37.7642,-122.4674
37.7622,-122.5068
37.7751,-122.5105
37.785,-122.4776
37.7653,-122.4665
37.7817,-122.4676
37.7642,-122.4674
37.7803,-122.4847
37.7751,-122.465
37.7429,-122.507
37.783,-122.4649
37.7642,-122.4674
37.7735,-122.4788
37.7817,-122.4929
37.7803,-122.4728
37.7748,-122.4788
37.7857,-122.4838
37.7694,-122.5111
37.7851,-122.4776
37.7821,-122.4846
37.7665,-122.4667
37.7795,-122.4632
37.783,-122.4627
37.7784,-122.4776
37.7676,-122.5111
37.7621,-122.5068
37.7754,-122.4617
37.7781,-122.4965
37.7798,-122.4871
37.7799,-122.5115
37.7736,-122.4714
37.7819,-122.4828
37.775,-122.507
37.7643,-122.4674
37.7751,-122.465
37.7816,-122.4676
37.7872,-122.4908
37.7736,-122.4713
37.7715,-122.5105
37.7823,-122.4656
37.7728,-122.4842
37.7932,-122.4829
37.7604,-122.5093
37.7878,-122.4852
37.7642,-122.4674
37.7569,-122.508
37.7823,-122.4653
37.7848,-122.4626
37.7727,-122.4897
37.7849,-122.4625
37.7752,-122.465
37.7424,-122.5071
37.7729,-122.509
37.783,-122.461
37.7932,-122.4829
37.774,-122.4952
37.7419,-122.5069
37.7636,-122.4642
37.7443,-122.4889
37.7537,-122.5091
37.7541,-122.4777
37.7647,-122.5106
37.7647,-122.4664
37.7622,-122.5069
37.786,-122.4744
37.7874,-122.4908
37.7773,-122.4638
37.7609,-122.505
37.7639,-122.51
37.7642,-122.5101
37.7808,-122.5101
37.7718,-122.4614
37.7643,-122.4673
37.7641,-122.4707
37.7735,-122.4713
37.7419,-122.4994
37.7639,-122.5097
37.7803,-122.4728
37.7735,-122.4714
37.7804,-122.4728
37.7651,-122.4634
37.7581,-122.5089
37.7748,-122.4791
37.7805,-122.4707
37.7623,-122.5097
37.7639,-122.5093
37.7822,-122.4654
37.7735,-122.4714
37.7822,-122.4654
37.7763,-122.5118
37.7767,-122.4813
37.7825,-122.4791
37.7643,-122.4641
37.7795,-122.4631
37.7734,-122.4658
37.7741,-122.4898
37.7642,-122.4674
37.7899,-122.4855
37.7819,-122.4839
37.7713,-122.5113
37.7437,-122.4641
37.7408,-122.4885
37.7636,-122.4744
37.782,-122.4828
37.7623,-122.5066
37.7636,-122.4641
37.7817,-122.4676
37.7623,-122.507
37.7807,-122.4762
37.7655,-122.4676
37.7739,-122.4971
37.7715,-122.5097
37.7776,-122.4992
37.7898,-122.4854
37.7642,-122.4674
37.7823,-122.4654
37.7625,-122.4662
37.7568,-122.5023
37.773,-122.4897
37.7817,-122.4929
37.7735,-122.4638
37.7532,-122.5054
37.7634,-122.4799
37.7636,-122.4641
37.782,-122.4828
37.7641,-122.4674
37.7643,-122.4674
37.7729,-122.5091
37.7805,-122.5097
37.7532,-122.5054
37.7563,-122.5095
37.7632,-122.4844
37.7751,-122.465
37.7713,-122.5106
37.7672,-122.511
37.7866,-122.4681
37.7639,-122.5097
37.7824,-122.4656
37.765,-122.4847
37.7851,-122.4776
37.7632,-122.4856
37.7773,-122.4638
37.7705,-122.5112
37.7705,-122.5112
37.7414,-122.507
37.7735,-122.4713
37.76,-122.5058
37.7658,-122.505
37.7875,-122.486
37.7716,-122.4944
37.7729,-122.509
37.7729,-122.509
37.7412,-122.4661
37.7655,-122.4664
37.7702,-122.5113
37.7729,-122.5091
37.7804,-122.4802
37.7635,-122.4807
37.7419,-122.5069
37.7637,-122.4662
37.7633,-122.4803
37.7635,-122.4641
37.7905,-122.4822
37.7905,-122.4822
37.7408,-122.4655
37.7714,-122.5108
37.7608,-122.5007
37.7602,-122.477
37.7538,-122.489
37.7817,-122.4676
37.7623,-122.4665
37.7807,-122.5097
37.7737,-122.4778
37.7768,-122.4742
37.7751,-122.465
37.7803,-122.4708
37.7748,-122.4791
37.7804,-122.4728
37.7715,-122.4743
37.7829,-122.467
37.7852,-122.5002
37.7751,-122.465
37.7697,-122.5112
37.761,-122.5007
37.7636,-122.4813
37.7729,-122.509
37.7697,-122.4674
37.7728,-122.509
37.7697,-122.4674
37.7736,-122.4788
37.7604,-122.5042
37.7492,-122.5079
37.7818,-122.4677
37.7823,-122.4655
37.7538,-122.4889
37.7633,-122.4821
37.7519,-122.4861
37.7482,-122.489
37.7418,-122.5044
37.7439,-122.5079
37.7715,-122.5107
37.7584,-122.5094
37.7711,-122.4958
37.7684,-122.4729
37.7729,-122.5115
37.7729,-122.5091
37.7597,-122.5094
37.7819,-122.4828
37.7751,-122.4649
37.7606,-122.504
37.757,-122.5017
37.7736,-122.4713
37.7639,-122.5097
37.7639,-122.5097
37.7639,-122.5097
37.7724,-122.4807
37.7643,-122.4674
37.7729,-122.5091
37.7751,-122.465
37.785,-122.4775
37.7604,-122.5093
37.7736,-122.4713
37.7849,-122.4624
37.7735,-122.4713
37.7751,-122.465
37.7752,-122.465
37.7752,-122.465
37.7735,-122.4713
37.7736,-122.4714
37.7699,-122.4849
37.7699,-122.4849
37.7419,-122.496
37.7636,-122.4785
37.7641,-122.5009
37.7728,-122.509
37.7635,-122.4775
37.7417,-122.5047
37.7751,-122.465
37.7839,-122.4612
37.756,-122.4775
37.7668,-122.494
37.7653,-122.4664
37.7857,-122.4863
37.7416,-122.5056
37.7532,-122.5055
37.7728,-122.5099
37.7646,-122.4943
37.7419,-122.5069
37.7729,-122.4798
37.7751,-122.465
37.7877,-122.485
37.7609,-122.4922
37.7606,-122.505
37.7428,-122.4826
37.7698,-122.4672
37.7672,-122.4666
37.7567,-122.4659
37.7817,-122.4927
37.7531,-122.5053
37.7825,-122.4719
37.7813,-122.4772
37.7604,-122.5095
37.7832,-122.4616
37.7697,-122.5113
37.7716,-122.5076
37.7636,-122.4641
37.7752,-122.465
37.7644,-122.4663
37.7697,-122.4747
37.7724,-122.4854
37.7605,-122.5082
37.7751,-122.4649
37.7824,-122.472
37.7824,-122.472
37.7404,-122.4767
37.7527,-122.5084
37.7535,-122.4904
37.7482,-122.49
37.748,-122.4824
37.7872,-122.4909
37.7621,-122.5071
37.7819,-122.4828
37.7422,-122.4917
37.7449,-122.4782
37.7613,-122.4887
37.7642,-122.4707
37.7824,-122.472
37.7766,-122.463
37.7633,-122.4839
37.7641,-122.4707
37.7653,-122.4665
37.7751,-122.4683
37.7735,-122.4713
37.7694,-122.4859
37.7768,-122.4672
37.7464,-122.4877
37.7635,-122.4835
37.7623,-122.5094
37.7736,-122.4713
37.7637,-122.4814
37.77,-122.5113
37.7721,-122.4959
37.7751,-122.4649
37.7805,-122.4728
37.7717,-122.5099
37.7752,-122.465
37.7702,-122.5113
37.7731,-122.4744
37.7728,-122.5097
37.763,-122.4894
37.7639,-122.4672
37.7732,-122.5093
37.7527,-122.4671
37.7528,-122.5089
37.773,-122.5115
37.7429,-122.4824
37.773,-122.5091
37.7735,-122.4664
37.7649,-122.5004
37.7739,-122.4638
37.763,-122.4934
37.7717,-122.5099
37.7704,-122.4733
37.7639,-122.5008
37.7531,-122.5055
37.7723,-122.5097
37.7727,-122.4844
37.7724,-122.5099
37.7648,-122.489
37.7604,-122.5092
37.7876,-122.4852
37.7605,-122.5056
37.749,-122.5078
37.7822,-122.4796
37.7729,-122.5091
37.7641,-122.4707
37.775,-122.511
37.7529,-122.5056
37.7817,-122.4929
37.7606,-122.5043
37.7736,-122.4713
37.7825,-122.4602
37.7419,-122.5069
37.7728,-122.5097
37.7713,-122.5105
37.7639,-122.5098
37.7803,-122.4728
37.7761,-122.5116
37.7634,-122.4828
37.785,-122.4776
37.7851,-122.4776
37.7733,-122.4695
37.7419,-122.5068
37.7817,-122.4929
37.773,-122.509
37.7733,-122.4788
37.773,-122.4753
37.7747,-122.4654
37.7641,-122.4674
37.773,-122.509
37.7641,-122.4707
37.7622,-122.5062
37.7817,-122.4928
37.7729,-122.509
37.7434,-122.4709
37.7565,-122.4691
37.7628,-122.4962
37.7636,-122.4641
37.7803,-122.4728
37.7817,-122.4927
37.7589,-122.465
37.7633,-122.4812
37.7831,-122.4614
37.7632,-122.4853
37.765,-122.4771
37.7685,-122.4882
37.749,-122.5079
37.7604,-122.4662
37.7585,-122.4671
37.7729,-122.509
37.7729,-122.509
37.7612,-122.4898
37.7534,-122.4977
37.7817,-122.4928
37.7728,-122.5091
37.7744,-122.5101
37.7729,-122.5091
37.773,-122.5091
37.7702,-122.4823
37.7412,-122.4661
37.7907,-122.4839
37.7645,-122.4956
37.7697,-122.4675
37.7747,-122.4654
37.7803,-122.4729
37.7534,-122.4972
37.7635,-122.4641
37.7427,-122.4856
37.7872,-122.4909
37.7877,-122.4854
37.7809,-122.4696
37.7569,-122.5023
37.7649,-122.5106
37.7818,-122.4676
37.7699,-122.482
37.781,-122.4696
37.7728,-122.5097
37.7642,-122.4674
37.7419,-122.5047
37.7635,-122.4641
37.775,-122.4735
37.7655,-122.4775
37.7603,-122.4779
37.7584,-122.4661
37.7824,-122.4719
37.7611,-122.4886
37.7567,-122.4638
37.7566,-122.4745
37.782,-122.4854
37.7604,-122.5055
37.7604,-122.467
37.7804,-122.4707
37.7851,-122.4776
37.7969,-122.4794
37.7634,-122.4781
37.7819,-122.4827
37.7745,-122.4639
37.7805,-122.4716
37.7822,-122.4849
37.7823,-122.4655
37.7699,-122.4817
37.7621,-122.509
37.7823,-122.4655
37.7728,-122.5097
37.7425,-122.4904
37.7751,-122.465
37.7604,-122.5055
37.7649,-122.5088
37.7764,-122.4846
37.7631,-122.4856
37.773,-122.4757
37.7795,-122.4632
37.7641,-122.4674
37.7636,-122.4783
37.7758,-122.497
37.7727,-122.4896
37.7685,-122.4676
37.7824,-122.4719
37.7611,-122.4888
37.7851,-122.4776
37.7529,-122.5057
37.755,-122.4787
37.7424,-122.4902
37.7757,-122.4977
37.7642,-122.4674
37.7642,-122.4674
37.7872,-122.4909
37.7735,-122.4713
37.7737,-122.4898
37.7825,-122.472
37.782,-122.4828
37.7538,-122.5077
37.764,-122.4707
37.7703,-122.486
37.7819,-122.4828
37.7635,-122.4641
37.7817,-122.4928
37.7764,-122.4811
37.7736,-122.4713
37.7416,-122.5076
37.7907,-122.4837
37.7438,-122.4996
37.7852,-122.4776
37.7852,-122.4776
37.7713,-122.4666
37.7898,-122.4854
37.7599,-122.5094
37.7529,-122.5059
37.7639,-122.5097
37.7529,-122.5057
37.782,-122.4828
37.7558,-122.4776
37.7541,-122.4829
37.7855,-122.4614
37.7643,-122.4674
37.771,-122.4683
37.7687,-122.5111
37.7707,-122.5113
37.7808,-122.4763
37.7808,-122.4761
37.7596,-122.479
37.7877,-122.485
37.7649,-122.4886
37.7751,-122.5103
37.767,-122.5079
37.7725,-122.4658
37.7568,-122.5091
37.7796,-122.4631
37.7736,-122.4714
37.7517,-122.5089
37.7704,-122.4912
37.7706,-122.4911
37.7696,-122.485
37.7817,-122.4928
37.7589,-122.5005
37.773,-122.509
37.7692,-122.486
37.7708,-122.4903
37.7824,-122.472
37.7458,-122.4958
37.7824,-122.4797
37.7727,-122.4609
37.7528,-122.5055
37.7643,-122.5009
37.7535,-122.4901
37.7528,-122.5059
37.7729,-122.509
37.7535,-122.4901
37.7656,-122.4665
37.7808,-122.4762
37.7645,-122.501
37.7752,-122.465
37.7635,-122.478
37.7634,-122.4777
37.7634,-122.4812
37.7633,-122.4812
37.7932,-122.4829
37.7603,-122.5072
37.7639,-122.5018
37.7796,-122.4632
37.773,-122.5091
37.7463,-122.4943
37.7702,-122.5113
37.7603,-122.509
37.7538,-122.4827
37.7716,-122.46
37.7774,-122.4996
37.7805,-122.5097
37.7419,-122.5068
37.7736,-122.4713
37.7795,-122.4632
37.753,-122.5052
37.7795,-122.4631
37.7423,-122.4895
37.7604,-122.4662
37.7449,-122.4778
37.7717,-122.5099
37.7568,-122.5023
37.7729,-122.509
37.7877,-122.4854
37.7419,-122.5069
37.7727,-122.4897
37.7634,-122.4844
37.7642,-122.4674
37.7806,-122.4782
37.7636,-122.4641
37.7729,-122.509
37.7692,-122.4842
37.7605,-122.5081
37.7636,-122.4641
37.7856,-122.4799
37.7606,-122.464
37.7633,-122.4839
37.7726,-122.4895
37.7899,-122.4854
37.7606,-122.5039
37.7694,-122.4776
37.7642,-122.4674
37.7752,-122.465
37.7621,-122.5095
37.7641,-122.4707
37.7804,-122.4728
37.7784,-122.4821
37.7659,-122.4665
37.7653,-122.4603
37.7735,-122.4658
37.7805,-122.4815
37.7641,-122.4706
37.7781,-122.4833
37.7737,-122.4644
37.7736,-122.4713
37.7697,-122.4674
37.7661,-122.4663
37.7729,-122.509
37.7635,-122.4814
37.7795,-122.4631
37.7736,-122.4714
37.7605,-122.5095
37.789,-122.4852
37.7604,-122.5095
37.7807,-122.4664
37.7839,-122.483
37.7656,-122.4664
37.7734,-122.4767
37.7729,-122.5091
37.7642,-122.4656
37.7641,-122.4707
37.7623,-122.5067
37.7432,-122.4765
37.7635,-122.4777
37.7817,-122.4928
37.785,-122.4776
37.7603,-122.5093
37.7467,-122.4793
37.7606,-122.504
37.7467,-122.4793
37.7633,-122.4829
37.7838,-122.4612
37.7735,-122.4713
37.7735,-122.4713
37.7422,-122.4895
37.7751,-122.465
37.7729,-122.48
37.7818,-122.4677
37.7892,-122.4853
37.7534,-122.5091
37.7622,-122.5062
37.7729,-122.5091
37.782,-122.4828
37.7735,-122.4713
37.7437,-122.4641
37.7634,-122.4823
37.7475,-122.5015
37.7459,-122.4983
37.7851,-122.4776
37.785,-122.4655
37.7849,-122.4626
37.7849,-122.4625
37.7799,-122.4871
37.7476,-122.5011
37.7602,-122.509
37.7641,-122.4707
37.7966,-122.4795
37.7511,-122.5043
37.7804,-122.5078
37.7823,-122.4655
37.7419,-122.5049
37.7647,-122.4664
37.7729,-122.51
37.7851,-122.4776
37.7729,-122.509
37.7463,-122.49
37.7751,-122.465
37.7635,-122.4641
37.7827,-122.4679
37.7639,-122.5095
37.782,-122.4829
37.7643,-122.5015
37.7639,-122.5095
37.7419,-122.5046
37.7419,-122.5069
37.7561,-122.4786
37.782,-122.4827
37.7642,-122.4674
37.7798,-122.4872
37.7706,-122.5112
37.7735,-122.4788
37.7751,-122.465
37.7807,-122.4763
37.7748,-122.479
37.7767,-122.4761
37.7824,-122.4656
37.7822,-122.4838
37.7748,-122.4791
37.7605,-122.4963
37.74,-122.4665
37.7799,-122.4611
37.7738,-122.4747
37.7748,-122.4791
37.7636,-122.4641
37.7801,-122.4794
37.7602,-122.5097
37.7601,-122.5097
37.7874,-122.4907
37.7874,-122.4908
37.7873,-122.4908
37.7705,-122.4686
37.7568,-122.5023
37.767,-122.4652
37.7602,-122.4702
37.7873,-122.4907
37.773,-122.5115
37.7735,-122.4713
37.7817,-122.4927
37.7458,-122.4964
37.7809,-122.4761
37.7825,-122.4655
37.7823,-122.4656
37.7729,-122.509
37.782,-122.4847
37.7654,-122.4776
37.7735,-122.4714
37.782,-122.4847
37.7642,-122.4656
37.7637,-122.4653
37.7724,-122.5099
37.7526,-122.509
37.7757,-122.4976
37.7631,-122.4862
37.7475,-122.5007
37.7538,-122.4887
37.7475,-122.5007
37.7454,-122.5077
37.7752,-122.465
37.7794,-122.4964
37.7528,-122.5055
37.7729,-122.509
37.7632,-122.5094
37.7694,-122.486
37.7654,-122.4776
37.7752,-122.465
37.7776,-122.4728
37.773,-122.5091
37.7641,-122.4706
37.7548,-122.5083
37.7653,-122.5107
37.782,-122.4828
37.773,-122.5091
37.7818,-122.4927
37.7873,-122.4905
37.7876,-122.4849
37.785,-122.4841
37.7436,-122.5071
37.7702,-122.4734
37.7756,-122.4993
37.7715,-122.5113
37.7648,-122.5106
37.7642,-122.4674
37.7702,-122.5113
37.7734,-122.4658
37.7637,-122.5093
37.7636,-122.4641
37.7518,-122.4604
37.7865,-122.4703
37.7723,-122.4679
37.7713,-122.5103
37.782,-122.4827
37.7568,-122.4633
37.7498,-122.4912
37.7587,-122.5012
37.7844,-122.4873
37.7587,-122.5012
37.7827,-122.4666
37.7817,-122.4929
37.7792,-122.5129
37.7718,-122.4745
37.7765,-122.5119
37.7729,-122.5091
37.773,-122.5091
37.7729,-122.509
37.7819,-122.4829
37.7851,-122.4776
37.7641,-122.475
37.7817,-122.4929
37.7804,-122.4706
37.7857,-122.4798
37.7637,-122.4642
37.7877,-122.4854
37.7634,-122.4835
37.7877,-122.4854
37.7898,-122.4853
37.7658,-122.4662
37.7439,-122.5017
37.7872,-122.4908
37.7419,-122.5047
37.7586,-122.4635
37.7622,-122.4665
37.7415,-122.5056
37.7735,-122.4659
37.7705,-122.4769
37.7529,-122.5046
37.786,-122.4931
37.7425,-122.4901
37.7877,-122.4852
37.7653,-122.4665
37.7713,-122.5105
37.7736,-122.4713
37.7712,-122.4665
37.777,-122.4953
37.7778,-122.4952
37.7587,-122.5012
37.7742,-122.4896
37.7869,-122.4842
37.7856,-122.4604
37.7604,-122.5091
37.7604,-122.5091
37.7708,-122.4864
37.7736,-122.4713
37.7708,-122.4864
37.7824,-122.472
37.7798,-122.4664
37.7751,-122.465
37.7822,-122.4654
37.7635,-122.4835
37.7751,-122.465
37.757,-122.5024
37.7425,-122.4901
37.7713,-122.5103
37.7543,-122.4884
37.7528,-122.5059
37.785,-122.4776
37.7529,-122.5046
37.773,-122.4853
37.7638,-122.5009
37.7797,-122.4664
37.7703,-122.4678
37.765,-122.4783
37.7643,-122.4664
37.7563,-122.4711
37.7747,-122.4703
37.7643,-122.4674
37.782,-122.4828
37.7714,-122.5107
37.7642,-122.4674
37.7606,-122.504
37.7804,-122.4728
37.7548,-122.5091
37.7634,-122.4806
37.7819,-122.4828
37.7707,-122.4864
37.7611,-122.49
37.7612,-122.4886
37.7841,-122.4821
37.7529,-122.5083
37.773,-122.5091
37.7803,-122.4728
37.7524,-122.5093
37.7645,-122.4978
37.7735,-122.4658
37.7868,-122.461
37.7635,-122.4801
37.7863,-122.4702
37.7527,-122.5084
37.7875,-122.4852
37.7722,-122.4892
37.7752,-122.465
37.7723,-122.4891
37.782,-122.4828
37.7666,-122.4947
37.7732,-122.5095
37.7729,-122.509
37.7702,-122.4762
37.764,-122.467
37.7842,-122.4819
37.7724,-122.5099
37.7851,-122.4776
37.7724,-122.5099
37.786,-122.4792
37.7643,-122.4674
37.7817,-122.4928
37.7708,-122.4864
37.7735,-122.4713
37.7715,-122.509
37.7637,-122.4642
37.7831,-122.4617
37.7735,-122.4713
37.7721,-122.5088
37.7763,-122.4812
37.782,-122.4827
37.7802,-122.4851
37.7528,-122.5055
37.78,-122.4943
37.7757,-122.4976
37.7877,-122.485
37.7703,-122.4801
37.773,-122.5091
37.7909,-122.4841
37.7738,-122.51
37.7819,-122.4828
37.7612,-122.504
37.7642,-122.4674
37.7817,-122.4929
37.7736,-122.4713
37.7791,-122.4976
37.7635,-122.4641
37.7711,-122.467
37.7731,-122.4757
37.7636,-122.4641
37.786,-122.4799
37.7819,-122.4827
37.7635,-122.4641
37.7667,-122.4947
37.7838,-122.4894
37.784,-122.4613
37.7758,-122.4979
37.7817,-122.4928
37.7723,-122.496
37.7877,-122.4844
37.782,-122.4828
37.7796,-122.5037
37.7604,-122.5093
37.761,-122.4844
37.7873,-122.4907
37.7799,-122.4611
37.7805,-122.4664
37.7736,-122.4713
37.7715,-122.5109
37.782,-122.4828
37.7751,-122.465
37.7759,-122.4954
37.7524,-122.4761
37.7795,-122.4631
37.7604,-122.5095
37.7781,-122.4965
37.7607,-122.5047
37.7834,-122.5115
37.7819,-122.4828
37.7819,-122.4828
37.7763,-122.4843
37.7932,-122.4829
37.7593,-122.508
37.7599,-122.508
37.7593,-122.5079
37.7726,-122.4897
37.772,-122.4958
37.7729,-122.509
37.7567,-122.5024
37.7635,-122.4641
37.7728,-122.5099
37.782,-122.4828
37.7817,-122.4927
37.7484,-122.4835
37.7535,-122.4969
37.7534,-122.4978
37.7604,-122.5095
37.7602,-122.5037
37.7817,-122.4929
37.7702,-122.5113
37.7636,-122.4641
37.7636,-122.4775
37.7796,-122.4632
37.7424,-122.4853
37.7423,-122.4852
37.7642,-122.4674
37.764,-122.5082
37.7859,-122.484
37.7491,-122.5078
37.7642,-122.5097
37.7824,-122.4655
37.7796,-122.4632
37.7764,-122.4803
37.7603,-122.4779
37.7751,-122.465
37.7701,-122.5114
37.773,-122.5091
37.7602,-122.5091
37.7807,-122.4805
